시도,시군구,어린이집명,어린이집유형구분,운영현황,우편번호,주소,어린이집전화번호,어린이집팩스번호,보육실수,보육실면적,놀이터수,보육교직원수,정원수,현원수,위도,경도,통학차량운영여부,홈페이지주소,인가일자,휴지시작일자,휴지종료일자,폐지일자
경상남도,김해시,셀라어린이집,가정,정상,50956,경상남도 김해시 금관대로1180번길 74 (외동),055-321-9866,055-321-9866,4,95,0,11,20,18,35.23145386,128.8597945,운영,,2003-06-11,,,
경상남도,김해시,한국창의어린이집,민간,정상,50957,경상남도 김해시 분성로 155 한국2차관리동 한국창의어린이집,055-326-7171,055-326-0590,11,402,1,23,152,117,35.2317508,128.8670714,운영,,1999-04-15,,,
경상남도,김해시,진영다솔어린이집,민간,정상,50867,경상남도 김해시 진영읍 진영로120번길 2-34 ,055-345-0088,055-345-3188,4,136,0,6,39,28,35.3026171,128.7254969,운영,,2005-01-21,,,
경상남도,김해시,예은어린이집,민간,정상,50962,경상남도 김해시 전하로 287-12 ,055-323-0081,055-323-2422,7,211,1,13,77,65,35.228848,128.87042,운영,,2003-10-29,,,
경상남도,김해시,한성어린이집,민간,정상,50929,경상남도 김해시 인제로51번길 54-10 ,055-321-1555,055-323-5341,6,344,2,13,99,88,35.23325871,128.8992097,운영,,2003-01-03,,,
경상남도,김해시,아이또래어린이집,가정,정상,50957,"경상남도 김해시 분성로 155 318동 103호(외동, 한국2차아파트)",055-909-1953,055-326-1973,3,51,0,7,16,12,35.23074985166204,128.86449453562417,미운영,,2004-11-17,,,
경상남도,김해시,유앤아이어린이집,민간,재개,50904,경상남도 김해시 구산로5번길 71 관리동,055-324-1145,055-323-1146,4,94,0,10,29,28,35.25666804,128.8680653,운영,,2005-01-31,,,
경상남도,김해시,싱글벙글어린이집,가정,정상,50949,경상남도 김해시 우암로 106 건영아파트 관리동,055-326-1919,055-337-7713,5,138,0,3,20,3,35.23945284,128.8639704,운영,wjddms1255@hanmail.net,1999-10-20,,,
경상남도,김해시,봄봄어린이집,가정,정상,50947,"경상남도 김해시 경원로 83 205동 103호(내동, 삼성)",055-324-1127,000-0000-0000,4,96,0,7,20,17,35.23697306,128.8693902,운영,,2008-06-19,,,
경상남도,김해시,참벗어린이집,사회복지법인,정상,50868,경상남도 김해시 진영읍 하계로 338-20 (참벗어린이집),055-343-3508,055-342-2163,7,242,1,10,92,52,35.29104556940267,128.73672566329134,운영,,2001-07-01,,,
경상남도,김해시,사랑어린이집,민간,정상,50908,경상남도 김해시 가락로 242-22 ,055-322-1595,055-322-2599,12,457,1,22,161,148,35.24721633,128.8756605,운영,,1994-11-17,,,
경상남도,김해시,노정화예능어린이집,민간,정상,50841,경상남도 김해시 활천로 116-9 ,055-336-1199,055-312-1977,10,238,1,13,86,71,35.23645378,128.8962193,운영,,1995-10-24,,,
경상남도,김해시,김해큰세상어린이집,민간,정상,50839,경상남도 김해시 활천로208번길 27-1 ,055-332-9306,055-321-9306,10,342,2,14,120,76,35.23985442,128.9014788,운영,http://cafe.daum.net/bigworld9306,1997-05-07,,,
경상남도,김해시,미소하루어린이집,민간,정상,50907,경상남도 김해시 가락로294번길 7 구산4주공아파트 관리실 내,055-339-0600,055-339-0600,4,129,0,8,27,24,35.25224158,128.873041,미운영,,1999-04-21,,,
경상남도,김해시,김해덕산어린이집,민간,정상,50953,"경상남도 김해시 함박로 121 1260동 1호(외동, 덕산베스트타운)",055-322-8477,070-4009-3133,5,143,1,7,64,30,35.23227414,128.8674999,운영,,1997-10-10,,,
경상남도,김해시,아가랑어린이집,민간,정상,50893,경상남도 김해시 평전로94번길 9-31 ,055-336-0023,055-338-3523,5,172,0,6,46,12,35.23925877,128.8584332,운영,,2005-12-13,,,
경상남도,김해시,천사어린이집,민간,정상,50867,경상남도 김해시 진영읍 진영로26번길 19 ,055-343-5940,055-343-5940,5,386,3,14,92,82,35.30341673,128.7177762,운영,,2001-06-01,,,
경상남도,김해시,엄마손에코어린이집,민간,정상,50907,경상남도 김해시 가락로294번길 18 구산3주공관리소 1층,055-339-4283,055-339-4283,3,80,0,9,26,25,35.25058873,128.8741232,운영,https://blog.naver.com/mom4284/222158631929,2000-08-22,,,
경상남도,김해시,한샘어린이집,민간,정상,50928,경상남도 김해시 분성로454번길 19-11 ,055-336-7123,055-322-7116,5,161,0,15,39,32,35.23355465,128.8964972,운영,,2005-09-23,,,
경상남도,김해시,예지어린이집,가정,정상,50933,경상남도 김해시 인제로11번길 46 1층 (삼정동),055-324-9004,055-336-7125,5,144,0,6,20,18,35.22938743,128.9002744,운영,,2003-11-07,,,
경상남도,김해시,피노키오어린이집,민간,정상,50922,경상남도 김해시 호계로472번길 33 피노키오 어린이집 (부원동),055-332-1910,055-332-1910,7,331,1,7,75,32,35.23140311,128.8866972,운영,http://pnko.1141004.com,1992-04-08,,,
경상남도,김해시,수정어린이집,사회복지법인,정상,50972,경상남도 김해시 금관대로719번길 19-8 수정어린이집,055-314-8700,055-314-8707,6,144,0,13,49,35,35.20640637,128.8251331,운영,,2005-01-31,,,
경상남도,김해시,장유어린이집,국공립,정상,51001,경상남도 김해시 장유로334번길 66 ,055-314-2634,055-314-2639,6,375,1,14,88,85,35.19322154497012,128.81100652470687,운영,,1992-01-01,,,
경상남도,김해시,김해시청 직장보육시설 해동이어린이집,직장,정상,50924,경상남도 김해시 김해대로2371번길 24-19 ,055-322-0905,055-322-0935,7,426,3,16,99,54,35.229331,128.8867944,운영,http://haedonge.com/,1997-07-16,,,
경상남도,김해시,블루키즈어린이집,민간,정상,50960,경상남도 김해시 금관대로1134번길 31 (외동),055-902-7716,055-334-1888,5,163,0,13,49,43,35.23119178,128.8517303,운영,,2002-11-13,,,
경상남도,김해시,맘에든어린이집,민간,정상,50941,경상남도 김해시 전하로124번길 26-16 ,055-325-0063,055-325-7763,5,237,1,13,82,53,35.21856203,128.8614544,운영,,2006-03-10,,,
경상남도,김해시,즐거운영재어린이집,민간,정상,50890,경상남도 김해시 금관대로1341번길 6-20 ,055-325-9918,055-325-9914,9,780,2,20,179,101,35.24388211,128.8647503,운영,,2006-03-16,,,
경상남도,김해시,꽃뜰어린이집,가정,정상,50862,"경상남도 김해시 진영읍 장등로19번길 18 201동 105호(진영리, 중흥에스클래스진영2단지아파트)",055-343-3536,055-343-3538,3,104,0,6,20,13,35.30089757,128.7290397,운영,,2006-03-13,,,
경상남도,김해시,한신어린이집,민간,정상,50959,경상남도 김해시 분성로 14 일동한신아파트 883번지 관리동내 (외동),055-325-2355,055-327-2337,5,103,0,5,36,17,35.23160402,128.8480928,운영,cafe. naver.com/ hanshinkids,1996-07-12,,,
경상남도,김해시,작은별어린이집,민간,정상,50824,경상남도 김해시 삼안로112번길 16 (안동),055-332-2284,055-332-2294,6,141,0,11,39,28,35.23972068,128.9178347,운영,,2003-03-13,,,
경상남도,김해시,작은나무어린이집,사회복지법인,정상,50962,경상남도 김해시 분성로194번길 2-1 ,055-333-1826,055-333-1827,6,158,0,14,49,47,35.22967239,128.8679226,운영,,2005-01-31,,,
경상남도,김해시,금빛샘어린이집,민간,정상,50893,경상남도 김해시 평전로94번길 9-24 금빛샘어린이집 (내동),055-327-3663,055-324-1636,6,318,1,14,65,63,35.23895598,128.8584234,운영,,2005-05-17,,,
경상남도,김해시,김해어린이집,국공립,정상,50926,경상남도 김해시 가락로15번길 22 1층 (봉황동),055-333-2698,055-333-2697,5,351,2,14,86,73,35.22789205,128.88017,운영,http://gimhaechild.or.kr/,1992-01-10,,,
경상남도,김해시,장유다솜어린이집,사회복지법인,정상,51000,경상남도 김해시 장유면 삼문로59번길 72 ,055-312-0550,055-312-0553,7,212,1,8,58,27,35.19386042,128.8081934,운영,https://cafe.naver.com/jangyudasom,2005-01-26,,,
경상남도,김해시,가람어린이집,사회복지법인,정상,50866,경상남도 김해시 김해대로332번길 62 ,055-342-8060,055-342-8061,4,145,1,6,49,22,35.30482906,128.7221926,운영,,2006-08-31,,,
경상남도,김해시,하늘동화어린이집,민간,정상,50904,"경상남도 김해시 구산로5번길 55 112동 1층(구산동, 동원)",055-334-1030,055-334-0225,4,142,0,9,46,27,35.25388952,128.8696334,미운영,,2005-12-29,,,
경상남도,김해시,색동원어린이집,사회복지법인,정상,50840,경상남도 김해시 활천로154번길 16 (어방동),055-331-5026,055-331-5027,5,130,1,13,49,31,35.23817905,128.9002265,운영,torehddnjs@hanmail.net,2005-01-26,,,
경상남도,김해시,색동어린이집,민간,정상,50840,경상남도 김해시 활천로154번길 14 ,055-331-5021,055-331-5041,4,132,0,6,49,43,35.23822057,128.9000973,운영,jy5196@daum.net,2005-03-31,,,
경상남도,김해시,은성어린이집,민간,정상,50958,경상남도 김해시 함박로 122-1 ,055-325-0686,055-325-0674,6,283,1,15,97,79,35.23187567,128.8618291,운영,www.k-eunsung.co.kr,1997-02-24,,,
경상남도,김해시,어방어린이집,국공립,정상,50837,경상남도 김해시 활천로208번길 3 (어방동),055-322-3669,055-322-3130,5,250,1,11,89,57,35.24222757,128.9021127,운영,,1994-04-04,,,
경상남도,김해시,반야어린이집,사회복지법인,정상,50996,경상남도 김해시 덕정로77번길 9 반야어린이집,055-313-4756,055-313-4757,5,132,0,7,49,21,35.18039900613079,128.79431410121685,운영,,2005-01-31,,,
경상남도,김해시,진영꼬마대통령어린이집,민간,정상,50862,경상남도 김해시 진영읍 장등로 55 중흥S클래스 1단지 관리동 어린이집,055-345-9122,055-345-9122,4,172,0,8,39,25,35.31117,128.73512,운영,http://jhyesol.com,2006-08-16,,,
경상남도,김해시,구산어린이집,국공립,정상,50908,경상남도 김해시 가락로 222 김해시 구산동321번지,055-337-4548,055-337-0821,5,155,1,9,59,47,35.24714251,128.8760212,운영,,1993-12-06,,,
경상남도,김해시,현대아이어린이집,민간,정상,50897,경상남도 김해시 삼계로 232 현대아이아파트복리동,055-333-0801,051-980-7785,6,140,1,8,48,27,35.26674231,128.8686453,운영,,2004-03-19,,,
경상남도,김해시,동상어린이집,국공립,정상,50843,경상남도 김해시 가야로475번길 6-5 공립동상어린이집(동상동 1106-10),055-336-7817,055-336-7896,5,307,1,12,78,61,35.23942927794916,128.88756281885048,운영,http://cafe.daum.net/dongsangkids,1991-01-10,,,
경상남도,김해시,동아아이뜰어린이집,민간,정상,50952,경상남도 김해시 내외로 55 동아1차아파트 관리동 1층 (내동),055-324-4253,055-324-4253,3,114,0,7,32,24,35.23641994,128.8638042,운영,,2008-11-17,,,
경상남도,김해시,이솝어린이집,민간,정상,50823,경상남도 김해시 삼안로132번길 5-30 ,055-335-5535,055-327-0403,5,252,1,8,58,30,35.24194588,128.9150207,운영,,2005-12-22,,,
경상남도,김해시,뜨란채아이또래어린이집,민간,정상,50954,경상남도 김해시 우암로 36 뜨란채아파트 관리동내 보육시설 (외동),055-326-1983,055-326-1973,4,106,0,8,39,28,35.23303634,128.8606077,운영,,1997-01-30,,,
경상남도,김해시,아이랑어린이집,가정,정상,50959,"경상남도 김해시 분성로 14 125동 102호(외동, 일동한신)",055-903-3365,055-903-3365,4,84,0,4,19,18,35.23160402,128.8480928,운영,,2004-02-03,,,
경상남도,김해시,달리별리어린이집,가정,정상,50939,"경상남도 김해시 전하로208번길 40-12 106동 101호(전하동, 반도보라)",055-323-8236,055-323-8223,4,90,0,5,18,9,35.22355751969079,128.87318608788928,운영,,2006-04-01,,,
경상남도,김해시,도솔어린이집,민간,정상,50837,경상남도 김해시 활천로202번길 16 (어방동),055-326-3866,055-328-3866,7,264,1,13,99,80,35.24100388,128.9010905,운영,,1996-02-07,,,
경상남도,김해시,도담어린이집,민간,정상,50961,경상남도 김해시 분성로 106-19 ,055-325-2425,055-328-2425,9,308,1,18,103,85,35.23002071,128.8586423,운영,,2006-07-19,,,
경상남도,김해시,꿈지기어린이집,민간,정상,50897,경상남도 김해시 삼계로 218 한솔솔파크 관리동 (삼계동),055-902-9500,055-902-2211,4,80,0,10,30,30,35.26849468,128.8696389,운영,,2005-11-15,,,
경상남도,김해시,더키즈스쿨어린이집,민간,정상,50945,경상남도 김해시 내외중앙로 121 대우아파트 관리동,055-909-4545,055-909-4646,5,108,0,7,30,20,35.24097381,128.8680815,운영,,1997-08-21,,,
경상남도,김해시,유영어린이집,민간,정상,50955,경상남도 김해시 함박로45번길 17-19 ,055-325-1724,055-321-3681,6,228,1,9,86,25,35.23364562,128.8582037,미운영,www.youyoung.co.kr,1997-02-27,,,
경상남도,김해시,킨더그린어린이집,민간,정상,50833,경상남도 김해시 인제로 167-4 어방화인어린이집 (어방동),055-337-1717,055-337-1727,12,471,1,12,151,39,35.2461959,128.9020556,미운영,,1997-02-22,,,
경상남도,김해시,매화정원어린이집,민간,재개,50954,경상남도 김해시 함박로101번길 19-1 매화정원어린이집,055-331-1284,055-312-1284,5,254,1,13,74,74,35.233456,128.86319,운영,khe6262@hanmail.net,2009-01-08,,,
경상남도,김해시,장미어린이집,가정,정상,50897,"경상남도 김해시 삼계로 248 218동 101호(삼계동, 분성마을부영7차아파트)",055-322-3866,--,4,95,0,7,19,18,35.26789,128.86636,운영,,2002-11-18,,,
경상남도,김해시,동부꽃동산어린이집,가정,정상,50824,경상남도 김해시 삼안로112번길 15-19 ,055-321-4847,055-321-4849,4,118,0,6,20,10,35.24043406,128.9170715,운영,,2001-01-30,,,
경상남도,김해시,꼬꼬마어린이집,민간,정상,50825,경상남도 김해시 삼안로131번길 13 한일 관리동1층,055-327-8234,055-326-8234,4,82,0,5,31,15,35.2440323,128.9224223,운영,,1999-04-16,,,
경상남도,김해시,나흔어린이집,가정,정상,50954,"경상남도 김해시 함박로 101 303동 103호(외동, 내외대동한마음타운)",055-327-4393,055-338-4393,3,66,0,6,16,14,35.23255,128.865,운영,,2004-02-09,,,
경상남도,김해시,작은왕국어린이집,가정,정상,50890,경상남도 김해시 금관대로1365번길 14-15 ,055-322-3212,055-335-3212,4,100,1,5,15,13,35.24577097,128.8653197,운영,공공형작은왕국어린이집밴드,2004-04-05,,,
경상남도,김해시,키즈랜드어린이집,가정,정상,50957,"경상남도 김해시 함박로 92 304동 105호(외동, 한국2차아파트)",055-326-7090,055-326-7093,4,47,0,4,13,9,35.23214,128.864,운영,,2005-10-16,,,
경상남도,김해시,부경몬테소리어린이집,가정,정상,50957,"경상남도 김해시 함박로 92 313동 101호(외동, 한국2차아파트)",055-313-3459,055-313-3459,4,48,0,6,16,14,35.23214,128.864,운영,,2008-12-03,,,
경상남도,김해시,협성참사랑어린이집,가정,정상,50866,경상남도 김해시 진영읍 김해대로244번길 10 협성팔레스아파트 101동 101호,055-342-3323,055-345-3324,4,85,0,5,20,16,35.30636223,128.7169072,운영,,2002-01-02,,,
경상남도,김해시,참좋은이화예능어린이집,민간,정상,50893,경상남도 김해시 금관대로1265번길 10 ,055-311-1070,055-312-1060,5,203,0,8,49,38,35.23861049,128.8583318,운영,다음카페,2008-06-02,,,
경상남도,김해시,인당어린이집,국공립,정상,50958,경상남도 김해시 분성로 227 보건복지센터 내 (외동),055-329-6633,055-329-6634,5,210,1,15,50,26,35.2324635,128.8706286,운영,indang.kidsnote.ac,1999-06-14,,,
경상남도,김해시,꿈꾸는어린이집,가정,정상,50828,"경상남도 김해시 분성로727번길 16 101동 106호(지내동, 양지마을동원1차아파트)",055-332-2794,055-332-2736,4,63,0,6,20,17,35.22904877,128.9243992,운영,,2000-06-14,,,
경상남도,김해시,튼튼키즈어린이집,가정,정상,50956,경상남도 김해시 금관대로1190번길 22 (외동),055-334-4963,050-4443-4541,4,73,0,2,20,7,35.2323383612,128.8551905142,운영,,2002-07-10,,,
경상남도,김해시,가야아이어린이집,가정,정상,50898,"경상남도 김해시 해반천로168번길 19 403동 103호(삼계동, 화정마을아이파크가야아파트)",055-332-7252,055-903-7252,4,61,0,6,20,13,35.26340525,128.8694142,운영,,1997-07-29,,,
경상남도,김해시,초록별어린이집,가정,정상,50956,경상남도 김해시 금관대로1180번길 37-4 ,055-325-6855,055-325-6855,4,100,0,5,20,9,35.23170815,128.8562201,운영,,1999-03-15,,,
경상남도,김해시,요정나라어린이집,가정,정상,50959,"경상남도 김해시 분성로 14 120동 101호(외동, 일동한신)",055-332-3009,--,4,85,0,7,20,19,35.23160402,128.8480928,운영,,2003-03-03,,,
경상남도,김해시,통키어린이집,가정,정상,50954,"경상남도 김해시 우암로 36 318동 102호(외동, 신주공아파트)",055-337-6146,--,4,80,0,6,16,14,35.23303634,128.8606077,운영,,1997-01-30,,,
경상남도,김해시,삼계꼬마숲어린이집,가정,정상,50897,"경상남도 김해시 삼계로 248 220동 101호(삼계동, 분성마을부영7차아파트)",055-331-1721,055-331-1721,4,66,0,7,20,18,35.26789,128.86636,운영,삼계꼬마숲어린이집,2005-09-12,,,
경상남도,김해시,청아어린이집,가정,정상,50862,"경상남도 김해시 진영읍 장등로 53 102동 106호(진영리, 중흥에스클래스진영1단지아파트)",055-346-5800,055-346-5801,4,75,0,6,18,12,35.30182849,128.7320597,운영,ben0621@naver.com,2006-04-01,,,
경상남도,김해시,아트리아어린이집,가정,정상,50815,"경상남도 김해시 삼안로 244 2동 101호(삼방동, 한일)",055-325-0128,055-325-0128,4,90,0,6,19,17,35.25008025,128.9120024,운영,,2008-08-25,,,
경상남도,김해시,활천어린이집,법인·단체등,정상,50929,경상남도 김해시 인제로51번길 59 (삼정동),055-336-0262,055-336-0262,4,138,1,7,49,19,35.23260503,128.8985038,운영,,1996-02-01,,,
경상남도,김해시,중앙어린이집,민간,정상,50963,경상남도 김해시 흥동로 7 (풍유동),055-324-2779,055-324-3331,7,329,1,17,69,59,35.223347393659225,128.84981971816543,운영,,2003-12-23,,,
경상남도,김해시,다솜어린이집,가정,정상,50881,"경상남도 김해시 김해대로 1784-15 105동 106호(삼계동, 김해북부두산위브)",055-339-5017,--,4,90,1,4,19,11,35.26631226,128.8605835,미운영,,2006-04-03,,,
경상남도,김해시,에덴어린이집,사회복지법인,정상,50867,경상남도 김해시 진영읍 진영로26번길 45 ,055-342-6430,055-343-6430,6,236,0,7,49,27,35.30140635,128.7184292,운영,,2005-04-25,,,
경상남도,김해시,동원프뢰벨어린이집,민간,정상,50828,"경상남도 김해시 분성로707번길 10 208동 1층(지내동, 양지마을동원2차아파트)",055-325-6046,055-325-7020,3,124,0,3,29,6,35.23192113,128.9237386,운영,,2002-05-24,,,
경상남도,김해시,이화은물어린이집,가정,정상,50862,"경상남도 김해시 진영읍 장등로 53 103동 101호(, 중흥에스클래스진영1단지아파트)",055-346-2150,055-346-2156,4,60,0,6,19,18,35.31117,128.73512,운영,,2006-09-04,,,
경상남도,김해시,김해삼성어린이집,민간,정상,50933,경상남도 김해시 인제로11번길 4 (어방동),055-323-1840,055-323-1842,6,449,3,22,151,99,35.22980809,128.9049073,미운영,,2006-10-23,,,
경상남도,김해시,진영해바라기어린이집,민간,정상,50862,경상남도 김해시 진영읍 장등로19번길 18-1 중흥S클래스2단지 관리동 진영해바라기 어린이집,055-342-9932,055-342-9931,4,150,0,8,34,28,35.30449023,128.7244382,운영,https://blog.naver.com/sing0309-,2006-08-31,,,
경상남도,김해시,바른어린이집,민간,정상,50868,경상남도 김해시 진영읍 진영로234번길 2 ,055-342-2013,055-342-2013,4,104,0,6,33,25,35.30223723,128.7383693,운영,,2006-10-16,,,
경상남도,김해시,꽃동산어린이집,민간,정상,50885,경상남도 김해시 평전로201번길 10-12 247-35,055-322-5555,055-312-1111,3,101,0,5,38,19,35.24617255,128.8639934,운영,,2007-03-02,,,
경상남도,김해시,푸르지오 아름어린이집,민간,정상,50831,경상남도 김해시 가야로 19-1 분성마을 푸르지오아파트 복리동,055-904-2406,--,4,108,0,10,31,29,35.27151,128.86136,미운영,,2007-02-05,,,
경상남도,김해시,사과나무어린이집,사회복지법인,정상,50996,경상남도 김해시 장유면 덕정로77번길 17-17 ,055-311-2121,055-311-2165,5,279,1,22,47,37,35.18104888,128.7952374,운영,,2007-03-27,,,
경상남도,김해시,푸르지오꿈모아어린이집,가정,정상,50902,"경상남도 김해시 삼계로 33 301동 101호(삼계동, 구지마을3단지푸르지오)",055-328-0620,055-328-0620,4,90,0,8,20,19,35.25764651,128.8697582,운영,,2007-07-09,,,
경상남도,김해시,대동어린이집,국공립,정상,50808,경상남도 김해시 대동면 동남로41번길 13-11 ,055-335-0127,055-335-0126,5,228,1,9,86,48,35.23591657,128.9938847,운영,,2007-09-21,,,
경상남도,김해시,블루베베어린이집,가정,정상,50959,"경상남도 김해시 분성로 14 122동 102호(외동, 일동한신)",055-326-7716,055-326-7716,5,60,0,7,20,20,35.23160402,128.8480928,운영,,2007-10-05,,,
경상남도,김해시,대청어린이집,국공립,정상,51004,경상남도 김해시 대청로176번길 15 대청어린이집,055-333-3663,055-333-3763,6,552,1,11,76,67,35.19161591,128.7978648,운영,,2007-09-27,,,
경상남도,김해시,진영한별어린이집,가정,정상,50862,"경상남도 김해시 진영읍 김해대로361번길 34 404동 104호(, 김해진영코아루)",055-343-5340,055-343-5340,4,85,0,6,20,15,35.311363,128.7319,운영,,2010-06-30,,,
경상남도,김해시,중흥금빛어린이집,가정,정상,50862,"경상남도 김해시 진영읍 장등로 53 105동 102호(, 중흥에스클래스진영1단지아파트)",055-343-5343,055-343-5346,4,80,0,11,19,16,35.31117,128.73512,운영,,2007-11-14,,,
경상남도,김해시,세별어린이집,가정,정상,50862,"경상남도 김해시 진영읍 장등로 55 102동 102호(진영리, 중흥에스클래스진영1단지아파트)",055-342-1320,055-342-1320,4,83,0,8,19,16,35.31117,128.73512,운영,,2007-11-16,,,
경상남도,김해시,진영예꼬아이어린이집,가정,정상,50862,"경상남도 김해시 진영읍 김해대로361번길 34 402동 103호(진영리, 김해진영코아루)",055-345-0157,055-345-0157,4,85,0,6,19,16,35.311363,128.7319,운영,,2007-11-23,,,
경상남도,김해시,아름드리어린이집,가정,재개,50904,"경상남도 김해시 구산로5번길 89 209동 102호(구산동, 한일유앤아이)",055-332-9284,--,3,53,0,2,17,1,35.25666804,128.8680653,미운영,,2008-01-16,,,
경상남도,김해시,꿈나무어린이집,가정,정상,50831,"경상남도 김해시 가야로 17 504동 104호(삼계동, 분성마을푸르지오5단지아파트)",055-332-3743,--,4,59,0,6,16,14,35.27238738,128.8623899,운영,,2008-02-26,,,
경상남도,김해시,코아루아이린어린이집,가정,정상,50862,경상남도 김해시 진영읍 김해대로361번길 34 코아루 아파트 409동 101호,055-345-0199,--,4,84,0,6,19,19,35.30998818861807,128.73189922266934,운영,,2008-02-20,,,
경상남도,김해시,아기별꽃어린이집,가정,재개,50904,"경상남도 김해시 구산로5번길 89 211동 102호(구산동, 한일유앤아이)",055-331-2945,055-334-2945,3,56,0,7,17,16,35.2553788967834,128.86744046080702,미운영,,2008-02-22,,,
경상남도,김해시,코아루어린이집,민간,정상,50862,경상남도 김해시 진영읍 김해대로361번길 36 코아루아파트 관리동,055-345-2326,055-345-2326,5,104,0,7,35,22,35.309906,128.73026,운영,,2008-02-15,,,
경상남도,김해시,해담어린이집,가정,정상,50862,"경상남도 김해시 진영읍 김해대로361번길 31 308동 102호(진영리, 진영자이)",055-342-4127,055-342-4127,4,85,1,6,20,18,35.309063,128.72845,운영,,2008-02-15,,,
